Mostly Positive,metascore
1,0
1,0
1,0
1,84
1,70
1,0
1,0
1,66
1,67
1,80
1,65
1,79
1,0
1,0
1,0
1,69
1,75
1,85
1,0
1,0
1,58
1,71
1,83
1,65
1,66
1,66
1,0
1,85
1,72
1,59
1,0
1,0
1,64
1,0
1,65
1,0
1,68
1,76
1,0
1,0
1,0
1,91
1,0
1,78
1,0
1,51
1,0
1,0
1,71
1,0
1,86
1,69
1,0
1,0
1,0
1,0
1,78
1,83
1,80
1,77
1,64
1,0
1,0
1,0
1,72
1,0
1,68
1,66
1,0
1,0
1,70
1,0
1,59
1,67
1,0
1,63
1,0
1,0
1,64
1,0
1,0
1,75
1,38
1,0
1,0
1,0
1,63
1,67
1,0
1,86
1,72
1,0
1,68
1,75
1,0
1,0
1,0
1,0
1,72
1,68
1,69
1,0
1,0
1,0
1,76
1,0
1,77
1,0
1,84
1,0
1,0
1,77
1,0
1,72
1,0
1,74
1,0
1,0
1,0
1,75
1,0
1,69
1,0
1,63
1,0
1,0
1,66
1,0
1,84
1,0
1,92
1,0
1,0
1,76
1,0
1,0
1,0
1,0
1,81
1,74
1,0
1,69
1,0
1,0
1,0
1,0
1,0
1,76
1,0
1,0
1,86
1,65
1,0
1,0
1,75
1,0
1,0
1,67
1,0
1,62
1,0
1,0
1,0
1,76
1,0
1,0
1,77
1,72
1,0
1,0
1,70
1,0
1,0
1,74
1,85
1,69
1,0
1,0
1,68
1,58
1,59
1,0
1,0
1,88
1,58
1,0
1,0
1,0
1,80
1,0
1,78
1,79
1,74
1,69
1,0
1,0
1,0
1,0
1,86
1,73
1,0
1,58
1,0
1,0
1,0
1,0
1,63
1,69
1,0
1,0
1,52
1,0
1,0
1,77
1,62
1,59
1,0
1,0
1,0
1,0
1,0
1,68
1,0
1,61
1,77
1,0
1,0
1,0
1,66
1,68
1,74
1,74
1,66
1,0
1,0
1,0
1,0
1,45
1,0
1,67
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,76
1,0
1,0
1,77
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,65
1,0
1,0
1,0
1,41
1,0
1,57
1,0
1,0
1,72
1,0
1,72
1,0
1,55
1,0
1,0
1,72
1,0
1,75
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,70
1,59
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,62
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,70
1,0
1,0
1,0
1,63
1,0
1,0
1,0
1,63
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,76
1,0
1,73
1,0
1,66
1,63
1,0
1,0
1,0
1,68
1,0
1,61
1,0
1,0
1,0
1,0
1,70
1,0
1,0
1,72
1,57
1,0
1,0
1,80
1,0
1,0
1,0
1,68
1,78
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,59
1,0
1,0
1,0
1,61
1,0
1,0
1,0
1,0
1,0
1,0
1,77
1,61
1,0
1,76
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,66
1,0
1,0
1,0
1,0
1,68
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,75
1,0
1,68
1,0
1,0
1,0
1,0
1,0
1,65
1,70
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,72
1,0
1,0
1,70
1,0
1,47
1,0
1,0
1,0
1,81
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,73
1,72
1,0
1,0
1,0
1,0
1,73
1,43
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,85
1,69
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,65
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
