year,price,metascore
2018.0,4.99,0
2018.0,0,0
2017.0,0,0
2017.0,0.99,0
2018.0,3.99,0
2018.0,9.99,0
2018.0,18.99,0
2018.0,29.99,0
2018.0,0,0
2018.0,10.99,0
2018.0,3.99,0
2018.0,2.99,0
2018.0,1.59,0
2018.0,14.99,0
2018.0,1.99,0
2018.0,59.99,0
2018.0,0.99,0
2017.0,2.99,0
2017.0,2.99,0
2018.0,4.99,0
2018.0,4.99,0
1997.0,9.99,0
1998.0,9.99,96
2016.0,1.99,0
2018.0,0,0
2018.0,0,0
2018.0,0.99,0
2018.0,0,0
2017.0,0,0
2018.0,8.99,0
2018.0,0.99,0
2006.0,6.99,84
2006.0,6.99,80
2006.0,9.99,76
2017.0,0,0
2017.0,7.99,0
2018.0,0,0
2017.0,10.99,0
2017.0,9.99,0
2017.0,9.99,0
2017.0,1.99,0
2017.0,0.99,0
2005.0,9.99,70
2006.0,9.99,84
2006.0,9.99,0
2006.0,9.99,0
2006.0,39.99,0
2006.0,0,0
2006.0,4.99,69
2003.0,4.99,81
2006.0,4.99,0
2006.0,19.99,75
2006.0,9.99,76
2005.0,7.49,72
2007.0,14.99,66
2006.0,9.99,67
2002.0,4.99,77
2000.0,9.99,91
2006.0,4.99,84
2003.0,9.99,80
2006.0,9.99,77
1998.0,4.99,89
2007.0,4.99,0
1995.0,4.99,0
2007.0,8.99,83
2006.0,19.99,66
2006.0,19.99,0
1996.0,4.99,0
2007.0,0,61
2006.0,19.99,0
1995.0,4.99,0
1995.0,14.99,0
1994.0,4.99,83
1994.0,4.99,0
2001.0,4.99,88
1997.0,2.99,0
1993.0,2.99,0
2003.0,9.99,65
2007.0,2.99,0
2007.0,4.99,94
2007.0,4.99,57
2006.0,12.99,0
2007.0,19.99,96
2006.0,12.99,86
2006.0,12.99,87
2004.0,9.99,92
2006.0,4.99,79
2007.0,6.99,0
1998.0,0,0
1999.0,0,0
2004.0,9.99,75
2003.0,9.99,81
2003.0,9.99,86
2006.0,6.99,82
2001.0,9.99,89
2008.0,19.99,82
2007.0,9.99,84
2007.0,9.99,66
2007.0,9.99,0
